x_mm,y_mm,start_layer,stop_layer,drill_mm,land_mm,net,type
11.714947,32.824788,L6,L5,.100,.250,GND,RF_FENCE
11.906128,32.473433,L6,L5,.100,.250,GND,RF_FENCE
12.188566,32.190187,L6,L5,.100,.250,GND,RF_FENCE
12.471408,31.907343,L6,L5,.100,.250,GND,RF_FENCE
12.754252,31.624501,L6,L5,.100,.250,GND,RF_FENCE
13.037094,31.341657,L6,L5,.100,.250,GND,RF_FENCE
13.289999,31.031754,L6,L5,.100,.250,GND,RF_FENCE
12.710000,38.953999,L6,L5,.100,.250,GND,RF_FENCE
12.710000,38.554000,L6,L5,.100,.250,GND,RF_FENCE
12.710000,38.154000,L6,L5,.100,.250,GND,RF_FENCE
12.710000,37.754001,L6,L5,.100,.250,GND,RF_FENCE
12.710000,37.354002,L6,L5,.100,.250,GND,RF_FENCE
12.710000,36.954003,L6,L5,.100,.250,GND,RF_FENCE
12.710000,36.554004,L6,L5,.100,.250,GND,RF_FENCE
12.710000,36.154004,L6,L5,.100,.250,GND,RF_FENCE
12.710000,35.754005,L6,L5,.100,.250,GND,RF_FENCE
12.710000,35.354006,L6,L5,.100,.250,GND,RF_FENCE
12.710000,34.954007,L6,L5,.100,.250,GND,RF_FENCE
12.710000,34.554008,L6,L5,.100,.250,GND,RF_FENCE
12.710000,34.154008,L6,L5,.100,.250,GND,RF_FENCE
12.710000,33.754009,L6,L5,.100,.250,GND,RF_FENCE
12.710000,33.354010,L6,L5,.100,.250,GND,RF_FENCE
12.844097,32.977158,L6,L5,.100,.250,GND,RF_FENCE
13.126938,32.694314,L6,L5,.100,.250,GND,RF_FENCE
13.409780,32.411469,L6,L5,.100,.250,GND,RF_FENCE
13.692622,32.128628,L6,L5,.100,.250,GND,RF_FENCE
13.975464,31.845783,L6,L5,.100,.250,GND,RF_FENCE
14.226344,31.534240,L6,L5,.100,.250,GND,RF_FENCE
14.309999,31.143085,L6,L5,.100,.250,GND,RF_FENCE
13.426001,41.640001,L6,L5,.100,.250,GND,RF_FENCE
13.826000,41.640001,L6,L5,.100,.250,GND,RF_FENCE
14.225999,41.640001,L6,L5,.100,.250,GND,RF_FENCE
14.625998,41.640001,L6,L5,.100,.250,GND,RF_FENCE
13.426001,42.659999,L6,L5,.100,.250,GND,RF_FENCE
13.826000,42.659999,L6,L5,.100,.250,GND,RF_FENCE
14.225999,42.659999,L6,L5,.100,.250,GND,RF_FENCE
14.625998,42.659999,L6,L5,.100,.250,GND,RF_FENCE
15.025997,42.659999,L6,L5,.100,.250,GND,RF_FENCE
15.425997,42.659999,L6,L5,.100,.250,GND,RF_FENCE
15.820497,42.593895,L6,L5,.100,.250,GND,RF_FENCE
16.137400,42.349819,L6,L5,.100,.250,GND,RF_FENCE
10.874002,45.304748,L6,L5,.100,.250,GND,RF_FENCE
8.626000,45.304748,L6,L5,.100,.250,GND,RF_FENCE
9.590001,38.823999,L6,L5,.100,.250,GND,RF_FENCE
9.590001,38.424000,L6,L5,.100,.250,GND,RF_FENCE
9.590001,38.024001,L6,L5,.100,.250,GND,RF_FENCE
9.590001,37.624001,L6,L5,.100,.250,GND,RF_FENCE
9.590001,37.224002,L6,L5,.100,.250,GND,RF_FENCE
9.590001,36.824003,L6,L5,.100,.250,GND,RF_FENCE
9.590001,36.424004,L6,L5,.100,.250,GND,RF_FENCE
9.590001,36.024005,L6,L5,.100,.250,GND,RF_FENCE
9.369209,35.690462,L6,L5,.100,.250,GND,RF_FENCE
9.086365,35.407620,L6,L5,.100,.250,GND,RF_FENCE
8.803523,35.124776,L6,L5,.100,.250,GND,RF_FENCE
8.520681,34.841934,L6,L5,.100,.250,GND,RF_FENCE
8.237840,34.559090,L6,L5,.100,.250,GND,RF_FENCE
7.954996,34.276248,L6,L5,.100,.250,GND,RF_FENCE
7.672154,33.993404,L6,L5,.100,.250,GND,RF_FENCE
7.389310,33.710562,L6,L5,.100,.250,GND,RF_FENCE
7.106468,33.427718,L6,L5,.100,.250,GND,RF_FENCE
6.823626,33.144877,L6,L5,.100,.250,GND,RF_FENCE
6.540784,32.862035,L6,L5,.100,.250,GND,RF_FENCE
6.257943,32.579191,L6,L5,.100,.250,GND,RF_FENCE
5.975099,32.296349,L6,L5,.100,.250,GND,RF_FENCE
5.692257,32.013505,L6,L5,.100,.250,GND,RF_FENCE
5.409689,31.730386,L6,L5,.100,.250,GND,RF_FENCE
5.216248,31.380273,L6,L5,.100,.250,GND,RF_FENCE
5.190000,30.981134,L6,L5,.100,.250,GND,RF_FENCE
10.609999,38.823999,L6,L5,.100,.250,GND,RF_FENCE
10.609999,38.424000,L6,L5,.100,.250,GND,RF_FENCE
10.609999,38.024001,L6,L5,.100,.250,GND,RF_FENCE
10.609999,37.624001,L6,L5,.100,.250,GND,RF_FENCE
10.609999,37.224002,L6,L5,.100,.250,GND,RF_FENCE
10.609999,36.824003,L6,L5,.100,.250,GND,RF_FENCE
10.609999,36.424004,L6,L5,.100,.250,GND,RF_FENCE
10.609999,36.024005,L6,L5,.100,.250,GND,RF_FENCE
10.585051,35.624783,L6,L5,.100,.250,GND,RF_FENCE
10.393868,35.273430,L6,L5,.100,.250,GND,RF_FENCE
10.111430,34.990184,L6,L5,.100,.250,GND,RF_FENCE
9.828588,34.707342,L6,L5,.100,.250,GND,RF_FENCE
9.545747,34.424501,L6,L5,.100,.250,GND,RF_FENCE
9.262905,34.141656,L6,L5,.100,.250,GND,RF_FENCE
8.980061,33.858815,L6,L5,.100,.250,GND,RF_FENCE
8.697219,33.575970,L6,L5,.100,.250,GND,RF_FENCE
8.414375,33.293129,L6,L5,.100,.250,GND,RF_FENCE
8.131533,33.010284,L6,L5,.100,.250,GND,RF_FENCE
7.848689,32.727443,L6,L5,.100,.250,GND,RF_FENCE
7.565847,32.444599,L6,L5,.100,.250,GND,RF_FENCE
7.283005,32.161757,L6,L5,.100,.250,GND,RF_FENCE
7.000164,31.878915,L6,L5,.100,.250,GND,RF_FENCE
6.717322,31.596073,L6,L5,.100,.250,GND,RF_FENCE
6.434480,31.313232,L6,L5,.100,.250,GND,RF_FENCE
6.210000,30.982161,L6,L5,.100,.250,GND,RF_FENCE
6.074001,41.959997,L6,L5,.100,.250,GND,RF_FENCE
5.674002,41.959997,L6,L5,.100,.250,GND,RF_FENCE
5.274003,41.959997,L6,L5,.100,.250,GND,RF_FENCE
4.874003,41.959997,L6,L5,.100,.250,GND,RF_FENCE
4.474004,41.959997,L6,L5,.100,.250,GND,RF_FENCE
4.074005,41.959997,L6,L5,.100,.250,GND,RF_FENCE
3.679505,41.893896,L6,L5,.100,.250,GND,RF_FENCE
3.362602,41.649823,L6,L5,.100,.250,GND,RF_FENCE
6.074001,40.939999,L6,L5,.100,.250,GND,RF_FENCE
5.674002,40.939999,L6,L5,.100,.250,GND,RF_FENCE
5.274003,40.939999,L6,L5,.100,.250,GND,RF_FENCE
4.874003,40.939999,L6,L5,.100,.250,GND,RF_FENCE
13.296999,27.333745,L6,L5,.100,.250,GND,RF_FENCE
13.445757,26.962435,L6,L5,.100,.250,GND,RF_FENCE
13.754062,26.707587,L6,L5,.100,.250,GND,RF_FENCE
14.146464,26.630000,L6,L5,.100,.250,GND,RF_FENCE
14.546463,26.630000,L6,L5,.100,.250,GND,RF_FENCE
14.946462,26.630000,L6,L5,.100,.250,GND,RF_FENCE
14.462569,27.650006,L6,L5,.100,.250,GND,RF_FENCE
14.862569,27.650003,L6,L5,.100,.250,GND,RF_FENCE
15.302913,38.780207,L6,L5,.100,.250,GND,RF_FENCE
15.469042,38.416337,L6,L5,.100,.250,GND,RF_FENCE
15.748551,38.130201,L6,L5,.100,.250,GND,RF_FENCE
15.889999,37.756046,L6,L5,.100,.250,GND,RF_FENCE
15.889999,37.356047,L6,L5,.100,.250,GND,RF_FENCE
15.889999,36.956047,L6,L5,.100,.250,GND,RF_FENCE
15.889999,36.556048,L6,L5,.100,.250,GND,RF_FENCE
15.889999,36.156049,L6,L5,.100,.250,GND,RF_FENCE
15.889999,35.756050,L6,L5,.100,.250,GND,RF_FENCE
15.889999,35.356051,L6,L5,.100,.250,GND,RF_FENCE
16.418763,38.902488,L6,L5,.100,.250,GND,RF_FENCE
16.700876,38.618917,L6,L5,.100,.250,GND,RF_FENCE
16.887543,38.265143,L6,L5,.100,.250,GND,RF_FENCE
16.909999,37.865774,L6,L5,.100,.250,GND,RF_FENCE
16.909999,37.465775,L6,L5,.100,.250,GND,RF_FENCE
16.909999,37.065776,L6,L5,.100,.250,GND,RF_FENCE
16.909999,36.665776,L6,L5,.100,.250,GND,RF_FENCE
16.909999,36.265777,L6,L5,.100,.250,GND,RF_FENCE
16.909999,35.865778,L6,L5,.100,.250,GND,RF_FENCE
16.909999,35.465779,L6,L5,.100,.250,GND,RF_FENCE
11.662377,48.329992,L6,L5,.100,.250,GND,RF_FENCE
12.062376,48.329992,L6,L5,.100,.250,GND,RF_FENCE
12.462375,48.329992,L6,L5,.100,.250,GND,RF_FENCE
12.862375,48.329995,L6,L5,.100,.250,GND,RF_FENCE
13.262374,48.329995,L6,L5,.100,.250,GND,RF_FENCE
13.662373,48.329995,L6,L5,.100,.250,GND,RF_FENCE
14.062372,48.329995,L6,L5,.100,.250,GND,RF_FENCE
14.462371,48.329997,L6,L5,.100,.250,GND,RF_FENCE
14.862371,48.329997,L6,L5,.100,.250,GND,RF_FENCE
10.726110,49.111616,L6,L5,.100,.250,GND,RF_FENCE
11.069627,49.316546,L6,L5,.100,.250,GND,RF_FENCE
11.468227,49.349998,L6,L5,.100,.250,GND,RF_FENCE
11.868226,49.349998,L6,L5,.100,.250,GND,RF_FENCE
12.268225,49.349998,L6,L5,.100,.250,GND,RF_FENCE
12.668225,49.349998,L6,L5,.100,.250,GND,RF_FENCE
13.068224,49.349998,L6,L5,.100,.250,GND,RF_FENCE
13.468223,49.349998,L6,L5,.100,.250,GND,RF_FENCE
13.868222,49.349998,L6,L5,.100,.250,GND,RF_FENCE
14.268221,49.349998,L6,L5,.100,.250,GND,RF_FENCE
14.668221,49.349998,L6,L5,.100,.250,GND,RF_FENCE
15.068220,49.349998,L6,L5,.100,.250,GND,RF_FENCE
8.773894,49.111616,L6,L5,.100,.250,GND,RF_FENCE
8.430377,49.316546,L6,L5,.100,.250,GND,RF_FENCE
8.031777,49.349998,L6,L5,.100,.250,GND,RF_FENCE
7.631778,49.349998,L6,L5,.100,.250,GND,RF_FENCE
7.231779,49.349998,L6,L5,.100,.250,GND,RF_FENCE
6.831780,49.349998,L6,L5,.100,.250,GND,RF_FENCE
6.431780,49.349998,L6,L5,.100,.250,GND,RF_FENCE
6.031781,49.349998,L6,L5,.100,.250,GND,RF_FENCE
5.631782,49.349998,L6,L5,.100,.250,GND,RF_FENCE
5.231783,49.349998,L6,L5,.100,.250,GND,RF_FENCE
4.831784,49.349998,L6,L5,.100,.250,GND,RF_FENCE
4.431784,49.349998,L6,L5,.100,.250,GND,RF_FENCE
7.837627,48.329992,L6,L5,.100,.250,GND,RF_FENCE
7.437628,48.329992,L6,L5,.100,.250,GND,RF_FENCE
7.037629,48.329992,L6,L5,.100,.250,GND,RF_FENCE
6.637630,48.329995,L6,L5,.100,.250,GND,RF_FENCE
6.237630,48.329995,L6,L5,.100,.250,GND,RF_FENCE
5.837631,48.329995,L6,L5,.100,.250,GND,RF_FENCE
5.437632,48.329995,L6,L5,.100,.250,GND,RF_FENCE
5.037633,48.329997,L6,L5,.100,.250,GND,RF_FENCE
4.637634,48.329997,L6,L5,.100,.250,GND,RF_FENCE
4.237634,48.329997,L6,L5,.100,.250,GND,RF_FENCE
5.037430,27.650006,L6,L5,.100,.250,GND,RF_FENCE
4.637430,27.650003,L6,L5,.100,.250,GND,RF_FENCE
4.237431,27.650003,L6,L5,.100,.250,GND,RF_FENCE
6.203000,27.333745,L6,L5,.100,.250,GND,RF_FENCE
6.054242,26.962435,L6,L5,.100,.250,GND,RF_FENCE
5.745937,26.707587,L6,L5,.100,.250,GND,RF_FENCE
5.353535,26.630000,L6,L5,.100,.250,GND,RF_FENCE
4.953536,26.630000,L6,L5,.100,.250,GND,RF_FENCE
4.553537,26.630000,L6,L5,.100,.250,GND,RF_FENCE
4.153538,26.630000,L6,L5,.100,.250,GND,RF_FENCE
3.081238,38.202489,L6,L5,.100,.250,GND,RF_FENCE
2.799123,37.918921,L6,L5,.100,.250,GND,RF_FENCE
2.612456,37.565147,L6,L5,.100,.250,GND,RF_FENCE
2.590000,37.165778,L6,L5,.100,.250,GND,RF_FENCE
2.590000,36.765779,L6,L5,.100,.250,GND,RF_FENCE
2.590000,36.365779,L6,L5,.100,.250,GND,RF_FENCE
2.590000,35.965780,L6,L5,.100,.250,GND,RF_FENCE
2.590000,35.565781,L6,L5,.100,.250,GND,RF_FENCE
4.197088,38.080208,L6,L5,.100,.250,GND,RF_FENCE
4.030960,37.716338,L6,L5,.100,.250,GND,RF_FENCE
3.751450,37.430202,L6,L5,.100,.250,GND,RF_FENCE
3.610000,37.056047,L6,L5,.100,.250,GND,RF_FENCE
3.610000,36.656048,L6,L5,.100,.250,GND,RF_FENCE
3.610000,36.256049,L6,L5,.100,.250,GND,RF_FENCE
3.610000,35.856050,L6,L5,.100,.250,GND,RF_FENCE
3.610000,35.456050,L6,L5,.100,.250,GND,RF_FENCE
