x_mm,y_mm,start_layer,stop_layer,drill_mm,land_mm,net,type
13.489038,30.119998,L6,L5,.100,.250,GND,RC_PERIMETER
13.089039,30.119998,L6,L5,.100,.250,GND,RC_PERIMETER
12.801237,29.842203,L6,L5,.100,.250,GND,RC_PERIMETER
12.801237,29.442204,L6,L5,.100,.250,GND,RC_PERIMETER
12.801237,29.042205,L6,L5,.100,.250,GND,RC_PERIMETER
12.801237,28.642206,L6,L5,.100,.250,GND,RC_PERIMETER
12.616183,28.287586,L6,L5,.100,.250,GND,RC_PERIMETER
11.649004,28.247109,L6,L5,.100,.250,GND,RC_PERIMETER
11.376083,28.539537,L6,L5,.100,.250,GND,RC_PERIMETER
11.368763,28.939470,L6,L5,.100,.250,GND,RC_PERIMETER
11.368763,29.339469,L6,L5,.100,.250,GND,RC_PERIMETER
11.368763,29.739468,L6,L5,.100,.250,GND,RC_PERIMETER
16.057110,42.330002,L6,L5,.100,.250,GND,RC_PERIMETER
16.457110,42.330002,L6,L5,.100,.250,GND,RC_PERIMETER
16.857109,42.330002,L6,L5,.100,.250,GND,RC_PERIMETER
17.257108,42.330002,L6,L5,.100,.250,GND,RC_PERIMETER
17.657107,42.330002,L6,L5,.100,.250,GND,RC_PERIMETER
18.057106,42.329913,L6,L5,.100,.250,GND,RC_PERIMETER
18.393225,42.113063,L6,L5,.100,.250,GND,RC_PERIMETER
18.429999,41.714758,L6,L5,.100,.250,GND,RC_PERIMETER
18.429999,41.314759,L6,L5,.100,.250,GND,RC_PERIMETER
18.428340,40.914762,L6,L5,.100,.250,GND,RC_PERIMETER
18.187182,40.595634,L6,L5,.100,.250,GND,RC_PERIMETER
17.788004,40.570000,L6,L5,.100,.250,GND,RC_PERIMETER
17.388004,40.570000,L6,L5,.100,.250,GND,RC_PERIMETER
16.988005,40.570000,L6,L5,.100,.250,GND,RC_PERIMETER
16.588006,40.570000,L6,L5,.100,.250,GND,RC_PERIMETER
16.516236,40.176491,L6,L5,.100,.250,GND,RC_PERIMETER
16.516236,39.776491,L6,L5,.100,.250,GND,RC_PERIMETER
