x_mm,y_mm,start_layer,stop_layer,drill_mm,land_mm,net,type
14.553961,30.119998,L6,L5,.100,.250,GND,RC_PERIMETER
14.166238,30.021657,L6,L5,.100,.250,GND,RC_PERIMETER
14.166238,29.621658,L6,L5,.100,.250,GND,RC_PERIMETER
14.166238,29.221659,L6,L5,.100,.250,GND,RC_PERIMETER
14.166238,28.821659,L6,L5,.100,.250,GND,RC_PERIMETER
14.115923,28.424835,L6,L5,.100,.250,GND,RC_PERIMETER
13.013705,28.247190,L6,L5,.100,.250,GND,RC_PERIMETER
12.741026,28.539844,L6,L5,.100,.250,GND,RC_PERIMETER
12.733764,28.939777,L6,L5,.100,.250,GND,RC_PERIMETER
12.733764,29.339776,L6,L5,.100,.250,GND,RC_PERIMETER
12.733764,29.739775,L6,L5,.100,.250,GND,RC_PERIMETER
16.057110,42.330002,L6,L5,.100,.250,GND,RC_PERIMETER
16.457110,42.330002,L6,L5,.100,.250,GND,RC_PERIMETER
16.857109,42.330002,L6,L5,.100,.250,GND,RC_PERIMETER
17.257108,42.330002,L6,L5,.100,.250,GND,RC_PERIMETER
17.657107,42.330002,L6,L5,.100,.250,GND,RC_PERIMETER
18.057106,42.329913,L6,L5,.100,.250,GND,RC_PERIMETER
18.393225,42.113063,L6,L5,.100,.250,GND,RC_PERIMETER
18.429999,41.714758,L6,L5,.100,.250,GND,RC_PERIMETER
18.429999,41.314759,L6,L5,.100,.250,GND,RC_PERIMETER
18.428340,40.914762,L6,L5,.100,.250,GND,RC_PERIMETER
18.187182,40.595634,L6,L5,.100,.250,GND,RC_PERIMETER
17.788004,40.570000,L6,L5,.100,.250,GND,RC_PERIMETER
17.388004,40.570000,L6,L5,.100,.250,GND,RC_PERIMETER
16.988005,40.570000,L6,L5,.100,.250,GND,RC_PERIMETER
16.588006,40.570000,L6,L5,.100,.250,GND,RC_PERIMETER
16.516236,40.176491,L6,L5,.100,.250,GND,RC_PERIMETER
16.516236,39.776491,L6,L5,.100,.250,GND,RC_PERIMETER
16.516236,39.376492,L6,L5,.100,.250,GND,RC_PERIMETER
16.506081,38.976620,L6,L5,.100,.250,GND,RC_PERIMETER
15.402207,38.688810,L6,L5,.100,.250,GND,RC_PERIMETER
15.100694,38.951659,L6,L5,.100,.250,GND,RC_PERIMETER
15.083762,39.351301,L6,L5,.100,.250,GND,RC_PERIMETER
15.083762,39.751300,L6,L5,.100,.250,GND,RC_PERIMETER
15.083762,40.151299,L6,L5,.100,.250,GND,RC_PERIMETER
15.083762,40.551298,L6,L5,.100,.250,GND,RC_PERIMETER
14.874446,40.892161,L6,L5,.100,.250,GND,RC_PERIMETER
14.869998,41.292137,L6,L5,.100,.250,GND,RC_PERIMETER
14.869998,41.692137,L6,L5,.100,.250,GND,RC_PERIMETER
10.283764,49.241680,L6,L5,.100,.250,GND,RC_PERIMETER
10.283764,49.641679,L6,L5,.100,.250,GND,RC_PERIMETER
10.283764,50.041678,L6,L5,.100,.250,GND,RC_PERIMETER
10.283764,50.441677,L6,L5,.100,.250,GND,RC_PERIMETER
10.287833,50.841656,L6,L5,.100,.250,GND,RC_PERIMETER
10.545722,51.147424,L6,L5,.100,.250,GND,RC_PERIMETER
11.708270,50.863541,L6,L5,.100,.250,GND,RC_PERIMETER
11.716240,50.463620,L6,L5,.100,.250,GND,RC_PERIMETER
11.716240,50.063621,L6,L5,.100,.250,GND,RC_PERIMETER
11.716240,49.663622,L6,L5,.100,.250,GND,RC_PERIMETER
11.829537,49.280003,L6,L5,.100,.250,GND,RC_PERIMETER
12.229536,49.280000,L6,L5,.100,.250,GND,RC_PERIMETER
12.629535,49.280000,L6,L5,.100,.250,GND,RC_PERIMETER
13.029535,49.280000,L6,L5,.100,.250,GND,RC_PERIMETER
13.427126,49.236173,L6,L5,.100,.250,GND,RC_PERIMETER
13.630003,48.891439,L6,L5,.100,.250,GND,RC_PERIMETER
13.630003,48.491440,L6,L5,.100,.250,GND,RC_PERIMETER
13.630003,48.091441,L6,L5,.100,.250,GND,RC_PERIMETER
13.570519,47.695889,L6,L5,.100,.250,GND,RC_PERIMETER
13.211266,47.519999,L6,L5,.100,.250,GND,RC_PERIMETER
12.811267,47.519999,L6,L5,.100,.250,GND,RC_PERIMETER
12.411268,47.519999,L6,L5,.100,.250,GND,RC_PERIMETER
12.011269,47.519999,L6,L5,.100,.250,GND,RC_PERIMETER
11.611270,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
10.563271,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
10.179581,47.633062,L6,L5,.100,.250,GND,RC_PERIMETER
10.070000,48.017760,L6,L5,.100,.250,GND,RC_PERIMETER
10.070000,48.417759,L6,L5,.100,.250,GND,RC_PERIMETER
10.070000,48.817759,L6,L5,.100,.250,GND,RC_PERIMETER
5.870001,48.900004,L6,L5,.100,.250,GND,RC_PERIMETER
6.080544,49.240110,L6,L5,.100,.250,GND,RC_PERIMETER
6.478549,49.280003,L6,L5,.100,.250,GND,RC_PERIMETER
6.878549,49.280003,L6,L5,.100,.250,GND,RC_PERIMETER
7.278548,49.280003,L6,L5,.100,.250,GND,RC_PERIMETER
7.678547,49.280003,L6,L5,.100,.250,GND,RC_PERIMETER
7.783764,49.665918,L6,L5,.100,.250,GND,RC_PERIMETER
7.783764,50.065917,L6,L5,.100,.250,GND,RC_PERIMETER
